n,v2,v3,v5,v7,v11,v13,v17,v19,v23,v29,v31,v37,v41,v43,v47,v53,v59,v61,v67,v71,v73,v79
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,7,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,6,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,8,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,8,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,8,5,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,11,5,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,9,5,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,9,7,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,10,7,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
